image,method,mode,deletion_auc,deletion_auc_random,insertion_auc,insertion_auc_random
b99bec61,occlusion,gray,8.9831,8.3512,11.9575,7.7885
bc6d4f34,occlusion,black,-0.6475,-0.6475,-0.6598,-0.6598
bc6d4f34,occlusion,gray,6.7439,6.7439,6.7208,6.7208
bce06b44,occlusion,black,-1.7937,5.4814,6.5004,0.3071
bce06b44,occlusion,gray,8.5203,8.9412,10.2935,9.1544
c4da57ac,occlusion,black,-8.1763,4.5781,5.9456,-7.2818
c4da57ac,occlusion,gray,6.1496,7.0133,7.3461,6.0232
cc2fbd21,occlusion,black,-3.6753,7.9269,9.2618,-1.7311
cc2fbd21,occlusion,gray,8.4991,10.259,10.766,8.5475
cefb4080,occlusion,black,-0.5887,-0.5887,-0.5869,-0.5869
cefb4080,occlusion,gray,6.7279,6.7279,6.7468,6.7468
d0f0787a,occlusion,black,-6.2397,4.3376,6.9782,-2.9351
d0f0787a,occlusion,gray,6.4949,8.454,9.5999,6.953
d7b6be10,occlusion,black,-5.1634,5.557,6.5947,-1.8401
d7b6be10,occlusion,gray,6.472,8.3954,8.7419,6.7207
d8403139,occlusion,black,-8.4838,7.731,7.7239,-8.4708
d8403139,occlusion,gray,7.8256,9.5501,9.5414,7.8705
d977f847,occlusion,black,-8.3319,10.7917,11.9257,-7.4619
d977f847,occlusion,gray,7.5233,13.3624,13.5882,7.5198
dae811d1,occlusion,black,-1.3284,-1.3284,-1.3456,-1.3456
dae811d1,occlusion,gray,7.4908,7.4908,7.4867,7.4867
db4f6c51,occlusion,black,-8.1193,10.6043,10.6751,-8.035
db4f6c51,occlusion,gray,9.1278,12.4074,12.3836,9.0954
e0644a38,occlusion,black,-6.1764,6.9045,8.1845,-4.9514
e0644a38,occlusion,gray,7.6121,10.5602,10.8048,8.1853
e0d29681,occlusion,black,2.0045,2.0045,1.9703,1.9703
e0d29681,occlusion,gray,11.4537,11.4537,11.4102,11.4102
eaa351af,occlusion,black,-5.9639,-5.9639,2.4513,2.4513
eaa351af,occlusion,gray,1.7404,1.7404,5.0514,5.0514
ead82a7e,occlusion,black,-7.0011,-0.5142,5.7837,-0.6202
ead82a7e,occlusion,gray,6.7791,7.8099,8.8551,7.8625
ebc78d2e,occlusion,black,-1.4807,3.1805,9.0814,6.4502
ebc78d2e,occlusion,gray,11.8059,12.5768,13.6679,12.6339
ef87eebb,occlusion,black,-7.4414,-1.8862,9.4764,3.9161
ef87eebb,occlusion,gray,8.5565,9.7233,11.8551,10.7382
f266ed95,occlusion,black,-8.3743,2.8735,6.6063,-4.6215
f266ed95,occlusion,gray,5.2696,7.4423,8.1714,5.9948
f6d77bd5,occlusion,black,-7.4155,2.89,8.7278,-1.7606
f6d77bd5,occlusion,gray,6.6464,9.0122,12.2275,5.8862
f81c7de4,occlusion,black,-4.7796,-4.7796,5.9033,5.9033
f81c7de4,occlusion,gray,8.4463,8.4463,10.6677,10.6677
f9aeaa10,occlusion,black,-6.9089,6.7953,9.593,-5.3389
f9aeaa10,occlusion,gray,6.8694,9.8654,10.9519,7.6167
fc641478,occlusion,black,0.8603,0.8603,0.8576,0.8576
fc641478,occlusion,gray,8.7629,8.7629,8.7601,8.7601
