image,mode,spearman_vs_black
fc641478,gray,nan
fc641478,mean,nan
fc641478,blur,nan
fc641478,black,nan
1a42e12b,gray,0.4
1a42e12b,mean,0.4
1a42e12b,blur,1.0
1a42e12b,black,1.0
e0d29681,gray,nan
e0d29681,mean,nan
e0d29681,blur,nan
e0d29681,black,nan
ae9889bf,gray,0.806
ae9889bf,mean,0.842
ae9889bf,blur,0.733
ae9889bf,black,1.0
ead82a7e,gray,1.0
ead82a7e,mean,1.0
ead82a7e,blur,1.0
ead82a7e,black,1.0
d8403139,gray,0.943
d8403139,mean,0.943
d8403139,blur,0.886
d8403139,black,1.0
001c2723,gray,nan
001c2723,mean,nan
001c2723,blur,nan
001c2723,black,nan
d0f0787a,gray,0.564
d0f0787a,mean,0.697
d0f0787a,blur,0.733
d0f0787a,black,1.0
4ebe4ec3,gray,nan
4ebe4ec3,mean,nan
4ebe4ec3,blur,nan
4ebe4ec3,black,nan
577d09f9,gray,-0.285
577d09f9,mean,0.83
577d09f9,blur,0.77
577d09f9,black,1.0
41003c46,gray,0.964
41003c46,mean,1.0
41003c46,blur,0.929
41003c46,black,1.0
1c522730,gray,0.5
1c522730,mean,0.0
1c522730,blur,0.9
1c522730,black,1.0
023667bc,gray,0.943
023667bc,mean,0.6
023667bc,blur,0.829
023667bc,black,1.0
ebc78d2e,gray,0.833
ebc78d2e,mean,0.833
ebc78d2e,blur,0.905
ebc78d2e,black,1.0
ef87eebb,gray,1.0
ef87eebb,mean,1.0
ef87eebb,blur,0.2
ef87eebb,black,1.0
0c217725,gray,0.771
0c217725,mean,0.943
0c217725,blur,0.829
0c217725,black,1.0
9a1a949a,gray,0.8
9a1a949a,mean,1.0
9a1a949a,blur,0.8
9a1a949a,black,1.0
