image,prompt,method,mode,base_reward,top1_importance,mean_abs_importance,n_superpixels,deletion_auc,deletion_auc_random,insertion_auc,insertion_auc_random
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",occlusion,blur,9.1089,1.277,0.1809,70,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",occlusion,black,9.1089,2.7868,0.3206,70,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",lime,gray,9.1089,0.4375,0.0528,70,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",lime,mean,9.1089,0.8313,0.0912,70,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",lime,blur,9.1089,0.7843,0.1022,70,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/38eb6939-7499-4bda-a59f-a4983ed5ee39.jpg,"The image captures a romantic scene featuring a couple in a passionate embrace. The woman, with auburn hair and fair skin, is reclining on a lavish cream-colored chaise lounge with intricate gilded details. She is wearing a flowing green gown that cascades around her, with shades of blue shimmering within the fabric. Her expression is serene, her left arm raised and fingers gently splayed, conveying a sense of surrender or quiet anticipation.

The man is positioned behind her, partially undressed with an open white shirt, revealing his bare chest. He is leaning over her, his dark hair neatly styled, his gaze intense and focused on her neck, as if about to kiss her. His hand rests protectively on her hip, suggesting intimacy and desire.

The setting is opulent, hinted at by the luxurious furniture and the scattered red roses around them. The lighting is warm and dramatic, casting shadows and highlighting the contours of their bodies and the details of their clothing. The background is blurred, drawing the viewer's attention to the central figures and the unfolding drama between them.",lime,black,9.1089,1.6369,0.1637,70,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e7361205-018f-40b0-8047-e7b05f97e55e.jpg,"Asian woman, gray strapless top, hand on chin, white background.",occlusion,gray,11.1821,4.6637,0.6231,78,6.8723,6.3433,8.5909,5.8618
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e7361205-018f-40b0-8047-e7b05f97e55e.jpg,"Asian woman, gray strapless top, hand on chin, white background.",occlusion,mean,11.1821,2.7596,0.4426,78,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e7361205-018f-40b0-8047-e7b05f97e55e.jpg,"Asian woman, gray strapless top, hand on chin, white background.",occlusion,blur,11.1821,2.4674,0.2721,78,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e7361205-018f-40b0-8047-e7b05f97e55e.jpg,"Asian woman, gray strapless top, hand on chin, white background.",occlusion,black,11.1821,5.0367,1.4823,78,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e7361205-018f-40b0-8047-e7b05f97e55e.jpg,"Asian woman, gray strapless top, hand on chin, white background.",lime,gray,11.1821,0.6738,0.058,78,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e7361205-018f-40b0-8047-e7b05f97e55e.jpg,"Asian woman, gray strapless top, hand on chin, white background.",lime,mean,11.1821,1.8693,0.1474,78,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e7361205-018f-40b0-8047-e7b05f97e55e.jpg,"Asian woman, gray strapless top, hand on chin, white background.",lime,blur,11.1821,1.9148,0.2171,78,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e7361205-018f-40b0-8047-e7b05f97e55e.jpg,"Asian woman, gray strapless top, hand on chin, white background.",lime,black,11.1821,1.8965,0.2788,78,,,,
